digits,n_prefix,p_min,p_min_digits,attempts,sieve_elim_pct,time_ms
100,60763418945892549450,23,2,9,0.0,0.199
100,39498563896945872569,643,3,48,98.3,3.749
100,42303656787038105098,1009,4,63,99.0,2.084
100,67276765896369018583,1483,4,58,98.8,1.911
100,94503874905854321436,157,3,23,99.2,1.306
100,39894569238187872505,3631,4,51,99.3,1.434
100,42905434727850509036,283,3,35,99.3,1.443
100,21490501276327454341,761,3,43,98.9,1.799
100,56941298365410965058,73,2,21,0.0,0.276
100,21672347018301056305,643,3,52,98.2,4.784
100,48583276121458561690,2671,4,63,99.0,4.821
100,31490123214127452521,41,2,13,0.0,0.176
100,34323058723096921472,233,3,40,98.2,1.540
100,59832905656327892725,1951,4,65,98.9,1.640
100,40945618387432789450,1873,4,49,99.2,1.467
100,33096185652763052143,13,2,6,0.0,0.237
100,24729676703694389254,2069,4,69,98.8,2.889
100,21290165474343678529,11,2,5,0.0,0.249
100,24961270769450927290,59,2,17,0.0,0.337
100,11698181034309216921,1627,4,43,99.1,1.368
100,66367494565050503234,389,3,44,99.3,1.719
100,65856909498949236181,1439,4,48,99.0,1.654
100,56743678585458389630,383,3,70,98.6,1.720
100,99830165094345438703,103,3,23,97.9,1.133
100,24543692901832167470,587,3,57,99.1,1.356
100,65694301236563618385,977,3,43,99.1,4.373
100,94123852389674981098,727,3,68,97.0,1.872
100,47070501078949090923,2089,4,81,98.3,5.076
100,88121254521654347430,43,2,14,0.0,0.251
100,23878707630107232961,1063,4,51,99.0,1.608
100,36383490929456327492,37,2,12,0.0,0.188
100,49852765612903610905,11,2,5,0.0,0.147
100,24109638949634367670,43,2,14,0.0,0.229
100,95890727612909054567,1289,4,51,99.2,1.470
100,26509618947892127616,601,3,80,98.5,1.883
100,11692725070709814145,367,3,63,98.0,1.764
100,40349832327014563494,2647,4,64,98.8,1.491
100,41814345010101418529,1109,4,65,98.9,1.700
100,16923498961078121872,7789,4,115,99.2,4.165
100,99094181636541258381,107,3,22,98.6,1.224
100,42727878507032121470,211,3,42,99.0,6.399
100,61814903478949638583,181,3,23,98.2,1.366
100,76987634961058501012,1483,4,44,98.9,2.893
100,47230987430781210347,2011,4,58,99.1,1.953
100,54967654721210925070,157,3,50,99.2,1.509
100,31290741818121854141,89,2,23,97.6,1.246
100,42905858109632161098,2039,4,47,99.3,4.195
100,15252503434949298321,1009,4,111,97.8,4.992
100,80523218783470123272,353,3,50,99.1,1.609
100,71410349874563070363,293,3,75,97.5,2.471
100,36141654569676987672,193,3,42,98.5,1.779
100,43052569890943292907,509,3,76,98.3,1.867
100,62745672925458563474,41,2,13,0.0,0.322
100,57414349832387498565,1259,4,49,99.1,1.444
100,30909214545094705676,347,3,44,99.1,4.366
100,59650109650943830569,2087,4,52,99.1,3.993
100,12309218169632543218,23,2,9,0.0,0.250
